program_id,program_name,start_date,end_date,age,gender,order,watch_rate
kbs2_numberone,위기탈출넘버원  ,20110905,20110911,00s,M,1,6.8
kbs2_gagcon,개그콘서트  ,20110905,20110911,00s,M,2,6.8
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,00s,M,3,6.5
sbs_starking,스타킹  ,20110905,20110911,00s,M,4,5.4
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,00s,M,5,5.3
mbc_challenge,무한도전  ,20110905,20110911,00s,M,6,5.2
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,00s,M,7,4.9
kbs2_sponge,스펀지ZERO  ,20110905,20110911,00s,M,8,4.6
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,00s,M,9,4.3
sbs_movieworld,접속무비월드  ,20110905,20110911,00s,M,10,4.2
mbc_challenge,무한도전  ,20110905,20110911,10s,M,1,8.4
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,10s,M,2,6.6
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,10s,M,3,6.3
kbs2_gagcon,개그콘서트  ,20110905,20110911,10s,M,4,5.5
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,10s,M,5,5.1
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,10s,M,6,4.6
sbs_newsunday,일요일이좋다  ,20110905,20110911,10s,M,7,4.5
sbs_happytogether,해피투게더  ,20110905,20110911,10s,M,8,4.4
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,10s,M,9,4
sbs_boss,드라마스페셜<보스를지켜라>  ,20110905,20110911,10s,M,10,3.6
mbc_challenge,무한도전  ,20110905,20110911,20s,M,1,9.4
kbs2_gagcon,개그콘서트  ,20110905,20110911,20s,M,2,6.1
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,20s,M,3,5.3
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,20s,M,4,4.8
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,20s,M,5,4.6
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,20s,M,6,4.4
mbc_wedding,우리결혼했어요시즌3  ,20110905,20110911,20s,M,7,4.3
mbc_sundaynight_nagasoo,우리들의일밤2부  ,20110905,20110911,20s,M,8,4
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,20s,M,9,3.8
sbs_happytogether,해피투게더  ,20110905,20110911,20s,M,10,3.7
kbs2_gagcon,개그콘서트  ,20110905,20110911,30s,M,1,10
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,30s,M,2,8.6
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,30s,M,3,7.8
mbc_challenge,무한도전  ,20110905,20110911,30s,M,4,7.2
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,30s,M,5,6.4
mbc_sundaynight_nagasoo,우리들의일밤2부  ,20110905,20110911,30s,M,6,6.4
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,30s,M,7,6
mbc_goldfish,황금어장  ,20110905,20110911,30s,M,8,5.7
sbs_besideme,주말극장<내사랑내곁에>  ,20110905,20110911,30s,M,9,5.2
mbc_gyebaek,월화특별기획<계백>  ,20110905,20110911,30s,M,10,4.8
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,40s,M,1,12.2
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,40s,M,2,10.3
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,40s,M,3,9.1
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,40s,M,4,7.1
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,40s,M,5,7.1
kbs2_gagcon,개그콘서트  ,20110905,20110911,40s,M,6,7.1
mbc_challenge,무한도전  ,20110905,20110911,40s,M,7,6.6
sbs_boss,드라마스페셜<보스를지켜라>  ,20110905,20110911,40s,M,8,6.6
mbc_audition2,스타오디션위대한탄생2  ,20110905,20110911,40s,M,9,6.4
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,40s,M,10,6.3
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,50s,M,1,14.4
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,50s,M,2,14.1
kbs_homewomen,일일연속극<우리집여자들>  ,20110905,20110911,50s,M,3,13.7
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,50s,M,4,13.1
kbs1_news9,KBS뉴스9  ,20110905,20110911,50s,M,5,11.7
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,50s,M,6,10.9
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,50s,M,7,10.5
sbs_zoo,TV동물농장  ,20110905,20110911,50s,M,8,10.3
sbs_besideme,주말극장<내사랑내곁에>  ,20110905,20110911,50s,M,9,10.3
sbs_dojun1000gok,도전1000곡  ,20110905,20110911,50s,M,10,9.7
kbs_homewomen,일일연속극<우리집여자들>  ,20110905,20110911,60s,M,1,26.3
kbs1_news9,KBS뉴스9  ,20110905,20110911,60s,M,2,20.8
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,60s,M,3,18.7
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,60s,M,4,18.3
kbs1_jarang,전국노래자랑  ,20110905,20110911,60s,M,5,16.8
kbs1_woorimal,우리말겨루기<KBS1>  ,20110905,20110911,60s,M,6,14.7
kbs1_loveasia,러브인아시아  ,20110905,20110911,60s,M,7,13.3
kbs1_news7,KBS뉴스7  ,20110905,20110911,60s,M,8,13.2
kbs1_column,시청자칼럼우리사는세상  ,20110905,20110911,60s,M,9,12.9
kbs1_curio,TV쇼진품명품  ,20110905,20110911,60s,M,10,11.9
kbs2_gagcon,개그콘서트  ,20110905,20110911,00s,F,1,11
kbs2_numberone,위기탈출넘버원  ,20110905,20110911,00s,F,2,6
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,00s,F,3,5.5
sbs_newsunday,일요일이좋다  ,20110905,20110911,00s,F,4,5
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,00s,F,5,4.8
mbc_three,세상을바꾸는퀴즈세바퀴  ,20110905,20110911,00s,F,6,4.5
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,00s,F,7,4.5
mbc_bulgul,일일연속극<불굴의며느리>  ,20110905,20110911,00s,F,8,4.2
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,00s,F,9,4.2
mbc_challenge,무한도전  ,20110905,20110911,00s,F,10,4.2
mbc_challenge,무한도전  ,20110905,20110911,10s,F,1,11.3
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,10s,F,2,8.6
mbc_audition2,스타오디션위대한탄생2  ,20110905,20110911,10s,F,3,7.7
kbs2_gagcon,개그콘서트  ,20110905,20110911,10s,F,4,7.6
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,10s,F,5,6.5
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,10s,F,6,6.1
sbs_boss,드라마스페셜<보스를지켜라>  ,20110905,20110911,10s,F,7,6.1
mbc_musiccore,쇼음악중심  ,20110905,20110911,10s,F,8,5.7
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,10s,F,9,5.5
mbc_wedding,우리결혼했어요시즌3  ,20110905,20110911,10s,F,10,5.5
mbc_challenge,무한도전  ,20110905,20110911,20s,F,1,12.7
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,20s,F,2,11.6
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,20s,F,3,10.5
sbs_besideme,주말극장<내사랑내곁에>  ,20110905,20110911,20s,F,4,8.7
kbs2_gagcon,개그콘서트  ,20110905,20110911,20s,F,5,8.7
sbs_happytogether,해피투게더  ,20110905,20110911,20s,F,6,8.3
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,20s,F,7,8.2
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,20s,F,8,6.7
mbc_lovecheer,주말특별기획드라마<애정만만세>  ,20110905,20110911,20s,F,9,6.7
sbs_newsunday,일요일이좋다  ,20110905,20110911,20s,F,10,6.6
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,30s,F,1,12.3
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,30s,F,2,10.8
mbc_challenge,무한도전  ,20110905,20110911,30s,F,3,10.2
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,30s,F,4,9.9
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,30s,F,5,9.8
sbs_boss,드라마스페셜<보스를지켜라>  ,20110905,20110911,30s,F,6,9.2
mbc_goldfish,황금어장  ,20110905,20110911,30s,F,7,9
sbs_happytogether,해피투게더  ,20110905,20110911,30s,F,8,8.2
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,30s,F,9,8.1
mbc_bulgul,일일연속극<불굴의며느리>  ,20110905,20110911,30s,F,10,8
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,40s,F,1,14.5
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,40s,F,2,12.7
mbc_challenge,무한도전  ,20110905,20110911,40s,F,3,11.8
kbs_homewomen,일일연속극<우리집여자들>  ,20110905,20110911,40s,F,4,11.8
sbs_boss,드라마스페셜<보스를지켜라>  ,20110905,20110911,40s,F,5,11
sbs_happytogether,해피투게더  ,20110905,20110911,40s,F,6,10.4
mbc_urpretty,아침드라마<당신참예쁘다>  ,20110905,20110911,40s,F,7,10
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,40s,F,8,9.8
sbs_strongheart,강심장  ,20110905,20110911,40s,F,9,9.5
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,40s,F,10,9.4
kbs_homewomen,일일연속극<우리집여자들>  ,20110905,20110911,50s,F,1,19.8
kbs2_princess,수목드라마<공주의남자>  ,20110905,20110911,50s,F,2,18.6
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,50s,F,3,16.3
kbs2_happysunday_1bak2il,해피선데이  ,20110905,20110911,50s,F,4,14.3
kbs1_news9,KBS뉴스9  ,20110905,20110911,50s,F,5,14.3
sbs_besideme,주말극장<내사랑내곁에>  ,20110905,20110911,50s,F,6,13.4
sbs_scent,특별기획<여인의향기>  ,20110905,20110911,50s,F,7,12.8
sbs_baekdongsoo,월화드라마<무사백동수>  ,20110905,20110911,50s,F,8,11.4
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,50s,F,9,11.3
mbc_urpretty,아침드라마<당신참예쁘다>  ,20110905,20110911,50s,F,10,10.8
kbs_homewomen,일일연속극<우리집여자들>  ,20110905,20110911,60s,F,1,29.3
kbs2_ojakkyo,주말연속극<오작교형제들>  ,20110905,20110911,60s,F,2,21.8
kbs1_news9,KBS뉴스9  ,20110905,20110911,60s,F,3,20.7
sbs_dangsin,일일드라마<당신이잠든사이>  ,20110905,20110911,60s,F,4,15.2
kbs1_greatking,대하드라마<광개토태왕>  ,20110905,20110911,60s,F,5,14.2
sbs_besideme,주말극장<내사랑내곁에>  ,20110905,20110911,60s,F,6,13.7
kbs1_jarang,전국노래자랑  ,20110905,20110911,60s,F,7,13.6
kbs1_woorimal,우리말겨루기<KBS1>  ,20110905,20110911,60s,F,8,13
kbs1_gayo,가요무대  ,20110905,20110911,60s,F,9,12.5
kbs1_1004,소비자고발<KBS1>  ,20110905,20110911,60s,F,10,12.2
